Data extracted on 25/06/2025 14:16:28 from [ESTAT],Unnamed: 1,Unnamed: 2
Basilicata,57.6,
Calabria,57.7,
Isole,56.3,
Sicilia,56.1,
Sardegna,57.1,
Nord-Est,65.1,
Provincia Autonoma di Bolzano/Bozen,67.3,
Provincia Autonoma di Trento,61.8,
Veneto,65.7,
Friuli-Venezia Giulia,61.9,
Emilia-Romagna,65.4,
Centro (IT),55.7,
Toscana,60.2,
Umbria,54.3,
Marche,62.9,
Lazio,51.2,
Cyprus,13.6,
Kýpros,13.6,
Latvia,39.1,
Latvija,39.1,
Lithuania,27.6,
Lietuva,27.6,
Sostinės regionas,:,
Vidurio ir vakarų Lietuvos regionas,:,
Luxembourg,59.9,
Hungary,26.5,
Közép-Magyarország,17.9,
Budapest,16.5,
Pest,21.9,
Dunántúl,30.0,
Közép-Dunántúl,29.9,
Nyugat-Dunántúl,28.2,
Dél-Dunántúl,31.9,
Alföld és Észak,29.4,
Észak-Magyarország,29.2,
Észak-Alföld,30.3,
Dél-Alföld,28.4,
Malta,22.8,
Netherlands,67.1,
Noord-Nederland,72.2,
Groningen,72.6,
Friesland (NL),72.9,
Drenthe,70.8,
Oost-Nederland,68.5,
Overijssel,71.0,
Gelderland,66.4,
Flevoland,71.3,
West-Nederland,65.2,
Utrecht (NUTS 2021),60.3,
Noord-Holland,63.6,
Zuid-Holland (NUTS 2021),67.4,
Zeeland,69.5,
Utrecht,:,
Zuid-Holland,:,
Zuid-Nederland,66.6,
Noord-Brabant,66.1,
Limburg (NL),67.8,
Extra-Regio NUTS 1,82.5,
Extra-Regio NUTS 2,82.5,
Austria,70.2,
Ostösterreich,65.8,
Burgenland,72.8,
Niederösterreich,72.2,
Wien,59.2,
Südösterreich,70.7,
Kärnten,74.6,
Steiermark,68.8,
Westösterreich,74.3,
Oberösterreich,76.2,
Salzburg,71.4,
Tirol,73.8,
Vorarlberg,72.4,
Poland,48.7,
Makroregion południowy,51.5,
Małopolskie,52.2,
Śląskie,50.9,
Makroregion północno-zachodni,51.2,
Wielkopolskie,53.1,
Zachodniopomorskie,46.1,
Lubuskie,53.1,
Makroregion południowo-zachodni,49.7,
Dolnośląskie,48.4,
Opolskie,53.4,
Makroregion północny,50.8,
Kujawsko-pomorskie,52.8,
Warmińsko-mazurskie,50.0,
Pomorskie,49.3,
Makroregion centralny,47.3,
Łódzkie,44.7,
Świętokrzyskie,51.9,
Makroregion wschodni,47.8,
Lubelskie,45.0,
Podkarpackie,51.3,
Podlaskie,46.3,
Makroregion województwo mazowieckie,40.4,
Warszawski stołeczny,32.3,
Mazowiecki regionalny,47.8,
Portugal,45.8,
Continente,45.9,
Norte,47.1,
Algarve,48.4,
Centro (PT) (NUTS 2021),44.5,
Área Metropolitana de Lisboa (NUTS 2021),44.4,
Alentejo (NUTS 2021),48.6,
Centro (PT),:,
Grande Lisboa,:,
Península de Setúbal,:,
Alentejo,:,
Oeste e Vale do Tejo,:,
Região Autónoma dos Açores,41.6,
Região Autónoma da Madeira,47.1,
Romania,60.0,
Macroregiunea Unu,61.2,
Nord-Vest,60.2,
Centru,62.3,
Macroregiunea Doi,61.1,
Nord-Est,61.2,
Sud-Est,60.9,
Macroregiunea Trei,55.4,
Sud-Muntenia,60.2,
Bucureşti-Ilfov,48.4,
Macroregiunea Patru,62.6,
Sud-Vest Oltenia,61.9,
Vest,63.6,
Slovenia,65.9,
Slovenija,65.9,
Vzhodna Slovenija,69.0,
Zahodna Slovenija,62.8,
Slovakia,68.1,
Slovensko,68.1,
Bratislavský kraj,55.8,
Západné Slovensko,72.3,
Stredné Slovensko,69.0,
Východné Slovensko,67.4,
Finland,70.1,
Manner-Suomi,70.2,
Länsi-Suomi,72.3,
Helsinki-Uusimaa,64.0,
Etelä-Suomi,71.9,
Pohjois- ja Itä-Suomi,73.3,
Åland,64.5,
Extra-Regio NUTS 1,0.0,
Extra-Regio NUTS 2,0.0,
Sweden,46.9,
Östra Sverige,42.8,
Stockholm,38.0,
Östra Mellansverige,48.7,
Södra Sverige,48.0,
Småland med öarna,51.0,
Sydsverige,46.6,
Västsverige,47.7,
Norra Sverige,52.9,
Norra Mellansverige,54.3,
Mellersta Norrland,52.1,
Övre Norrland,51.3,
Iceland,31.4,
Ísland,31.4,
Liechtenstein,67.1,
Norway,51.8,
Norge,51.8,
Oslo og Akershus (statistical region 2016),39.9,
Innlandet,55.5,
Sør-Østlandet (statistical region 2016),51.8,
Agder og Rogaland (statistical region 2016),56.8,
Vestlandet (statistical region 2016),54.7,
Trøndelag,55.6,
Nord-Norge,57.2,
Oslo og Viken,:,
Agder og Sør-Østlandet,:,
Vestlandet,:,
Svalbard og Jan Mayen,:,
Extra-Regio level 1,51.9,
Extra-Regio level 2,51.9,
Switzerland,66.0,
Schweiz/Suisse/Svizzera,66.0,
Région lémanique,50.5,
Espace Mittelland,69.9,
Nordwestschweiz,64.9,
Zürich,73.4,
Ostschweiz,75.8,
Zentralschweiz,72.1,
Ticino,56.2,
Extra-Regio level 1,:,
Extra-Regio level 2,:,
United Kingdom,43.8,
North East (UK) (NUTS 2021),53.7,
North West (UK) (NUTS 2021),49.7,
Yorkshire and The Humber (NUTS 2021),48.8,
East Midlands (UK) (NUTS 2021),45.5,
West Midlands (UK) (NUTS 2021),46.8,
East of England (NUTS 2021),40.1,
London (NUTS 2021),38.6,
South East (UK) (NUTS 2021),39.0,
South West (UK) (NUTS 2021),44.8,
Wales (NUTS 2021),25.7,
Scotland (NUTS 2021),8.0,
Northern Ireland (UK) (NUTS 2021),38.8,
Extra-Regio NUTS 1 (NUTS 2021),99.2,
Bosnia and Herzegovina,:,
Montenegro,:,
Crna Gora,:,
North Macedonia,59.8,
Severna Makedonija,59.8,
Albania,:,
Shqipëria,:,
Serbia,:,
Srbija - sever,:,
Beogradski region,:,
Region Vojvodine,:,
Srbija - jug,:,
Region Sumadije i Zapadne Srbije,:,
Region Juzne i Istocne Srbije,:,
Türkiye,45.4,
İstanbul,42.7,
Batı Marmara,49.4,
"Tekirdağ, Edirne, Kırklareli",49.5,
"Balıkesir, Çanakkale",49.3,
Ege,49.4,
İzmir,47.9,
"Aydın, Denizli, Muğla",46.6,
"Manisa, Afyonkarahisar, Kütahya, Uşak",54.0,
Doğu Marmara,54.4,
"Bursa, Eskişehir, Bilecik",54.8,
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",54.1,
Batı Anadolu,45.5,
Ankara,41.5,
"Konya, Karaman",54.4,
Akdeniz,44.1,
"Antalya, Isparta, Burdur",43.3,
"Adana, Mersin",41.5,
"Hatay, Kahramanmaraş, Osmaniye",48.2,
Orta Anadolu,48.1,
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",48.2,
"Kayseri, Sivas, Yozgat",48.0,
Batı Karadeniz,50.8,
"Zonguldak, Karabük, Bartın",52.1,
"Kastamonu, Çankırı, Sinop",54.9,
"Samsun, Tokat, Çorum, Amasya",49.5,
Doğu Karadeniz,54.6,
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",54.6,
Kuzeydoğu Anadolu,42.2,
"Erzurum, Erzincan, Bayburt",43.5,
"Ağrı, Kars, Iğdır, Ardahan",40.7,
Ortadoğu Anadolu,41.3,
